1965-03-20 20:04:37.392000,1965-06-21 14:55:33.503000,1965-09-23 06:05:52.486000,1965-12-22 01:40:18.459000
1966-03-21 01:52:47.954000,1966-06-21 20:33:15.589000,1966-09-23 11:43:01.924000,1966-12-22 07:28:03.543000
1967-03-21 07:36:42.415000,1967-06-22 02:22:44.515000,1967-09-23 17:37:57.069000,1967-12-22 13:16:13.054000
1968-03-20 13:21:55.677000,1968-06-21 08:13:11.766000,1968-09-22 23:26:06.337000,1968-12-21 18:59:41.292000
1969-03-20 19:08:01.672000,1969-06-21 13:54:58.973000,1969-09-23 05:06:50.013000,1969-12-22 00:43:38.554000
1970-03-21 00:56:15.900000,1970-06-21 19:42:35.696000,1970-09-23 10:58:55.096000,1970-12-22 06:35:37.793000
1971-03-21 06:38:06.130000,1971-06-22 01:19:33.599000,1971-09-23 16:44:51.698000,1971-12-22 12:23:53.256000
1972-03-20 12:21:23.616000,1972-06-21 07:06:09.636000,1972-09-22 22:32:43.490000,1972-12-21 18:12:52.840000
1973-03-20 18:12:25.018000,1973-06-21 13:00:33.724000,1973-09-23 04:21:06.320000,1973-12-22 00:07:41.736000
1974-03-21 00:06:35.942000,1974-06-21 18:37:35.526000,1974-09-23 09:58:24.471000,1974-12-22 05:55:56.267000
1975-03-21 05:56:38.935000,1975-06-22 00:26:24.869000,1975-09-23 15:55:10.813000,1975-12-22 11:45:33.064000
1976-03-20 11:49:34.153000,1976-06-21 06:24:10.822000,1976-09-22 21:48:10.274000,1976-12-21 17:35:07.528000
1977-03-20 17:42:15.064000,1977-06-21 12:13:44.564000,1977-09-23 03:29:13.962000,1977-12-21 23:23:08.418000
1978-03-20 23:33:32.133000,1978-06-21 18:09:32.771000,1978-09-23 09:25:23.659000,1978-12-22 05:20:57.522000
1979-03-21 05:21:54.832000,1979-06-21 23:56:09.777000,1979-09-23 15:16:23.003000,1979-12-22 11:09:45.278000
1980-03-20 11:09:40.276000,1980-06-21 05:47:00.197000,1980-09-22 21:08:40.469000,1980-12-21 16:56:04.897000
1981-03-20 17:02:50.646000,1981-06-21 11:44:40.771000,1981-09-23 03:05:11.282000,1981-12-21 22:50:31.912000
1982-03-20 22:55:50.049000,1982-06-21 17:22:59.566000,1982-09-23 08:46:10.575000,1982-12-22 04:38:08.328000
1983-03-21 04:38:44.213000,1983-06-21 23:08:40.198000,1983-09-23 14:41:35.460000,1983-12-22 10:29:54.554000
1984-03-20 10:24:19.187000,1984-06-21 05:02:13.404000,1984-09-22 20:32:53.174000,1984-12-21 16:22:48.698000
1985-03-20 16:13:43.884000,1985-06-21 10:44:07.794000,1985-09-23 02:07:26.042000,1985-12-21 22:07:38.943000
1986-03-20 22:02:40.989000,1986-06-21 16:29:57.357000,1986-09-23 07:58:51.815000,1986-12-22 04:02:07.433000
1987-03-21 03:51:57.539000,1987-06-21 22:10:44.829000,1987-09-23 13:45:16.305000,1987-12-22 09:45:53.018000
1988-03-20 09:38:35.642000,1988-06-21 03:56:31.249000,1988-09-22 19:28:50.194000,1988-12-21 15:27:52.561000
1989-03-20 15:28:14.908000,1989-06-21 09:53:00.884000,1989-09-23 01:19:36.171000,1989-12-21 21:22:00.989000
1990-03-20 21:19:15.260000,1990-06-21 15:32:47.293000,1990-09-23 06:55:29.767000,1990-12-22 03:06:59.355000
1991-03-21 03:01:55.037000,1991-06-21 21:18:46.198000,1991-09-23 12:48:04.738000,1991-12-22 08:53:38.280000
1992-03-20 08:48:02.708000,1992-06-21 03:14:09.125000,1992-09-22 18:42:45.757000,1992-12-21 14:43:13.308000
1993-03-20 14:40:37.749000,1993-06-21 08:59:44.097000,1993-09-23 00:22:27.710000,1993-12-21 20:25:47.650000
1994-03-20 20:28:00.090000,1994-06-21 14:47:32.115000,1994-09-23 06:19:11.901000,1994-12-22 02:22:42.209000
1995-03-21 02:14:24.787000,1995-06-21 20:34:22.323000,1995-09-23 12:12:59.161000,1995-12-22 08:16:47.826000
1996-03-20 08:03:03.764000,1996-06-21 02:23:43.479000,1996-09-22 18:00:05.706000,1996-12-21 14:05:52.935000
1997-03-20 13:54:39.429000,1997-06-21 08:19:55.939000,1997-09-22 23:55:45.704000,1997-12-21 20:07:01.554000
1998-03-20 19:54:31.523000,1998-06-21 14:02:34.344000,1998-09-23 05:37:11.515000,1998-12-22 01:56:27.657000
1999-03-21 01:45:48.387000,1999-06-21 19:49:06.138000,1999-09-23 11:31:29.779000,1999-12-22 07:43:47.878000
2000-03-20 07:35:14.353000,2000-06-21 01:47:42.051000,2000-09-22 17:27:35.350000,2000-12-21 13:37:25.453000
2001-03-20 13:30:42.329000,2001-06-21 07:37:43.246000,2001-09-22 23:04:28.387000,2001-12-21 19:21:29.377000
2002-03-20 19:16:08.346000,2002-06-21 13:24:24.209000,2002-09-23 04:55:23.546000,2002-12-22 01:14:22.108000
2003-03-21 00:59:45.677000,2003-06-21 19:10:27.508000,2003-09-23 10:46:49.262000,2003-12-22 07:03:48.748000
2004-03-20 06:48:38.062000,2004-06-21 00:56:52.250000,2004-09-22 16:29:50.057000,2004-12-21 12:41:36.287000
2005-03-20 12:33:25.068000,2005-06-21 06:46:07.494000,2005-09-22 22:23:10.169000,2005-12-21 18:34:56.682000
2006-03-20 18:25:33.737000,2006-06-21 12:25:50.986000,2006-09-23 04:03:22.179000,2006-12-22 00:22:05.355000
2007-03-21 00:07:24.915000,2007-06-21 18:06:25.226000,2007-09-23 09:51:13.340000,2007-12-22 06:07:48.510000
2008-03-20 05:48:17.447000,2008-06-20 23:59:21.625000,2008-09-22 15:44:29.039000,2008-12-21 12:03:45.547000
2009-03-20 11:43:37.476000,2009-06-21 05:45:31.094000,2009-09-22 21:18:34.938000,2009-12-21 17:46:47.216000
2010-03-20 17:32:12.009000,2010-06-21 11:28:24.518000,2010-09-23 03:09:01.725000,2010-12-21 23:38:27.433000
2011-03-20 23:20:43.429000,2011-06-21 17:16:30.258000,2011-09-23 09:04:38.301000,2011-12-22 05:30:02.826000
2012-03-20 05:14:25.665000,2012-06-20 23:08:49.057000,2012-09-22 14:48:58.066000,2012-12-21 11:11:36.539000
2013-03-20 11:01:54.748000,2013-06-21 05:03:57.032000,2013-09-22 20:44:08.269000,2013-12-21 17:11:00.283000
2014-03-20 16:57:05.597000,2014-06-21 10:51:14.308000,2014-09-23 02:29:04.970000,2014-12-21 23:03:01.614000
2015-03-20 22:45:09.340000,2015-06-21 16:37:55.813000,2015-09-23 08:20:32.718000,2015-12-22 04:47:56.664000
